smiles,pka
NO,3.94
NN,5.4
CCN,10.23
CNO,4.89
CNN,5.75
CON,4.32
CCCN,10.21
NCCS,10.4
NCCN,9.69
NCCO,9.55
C=NO,3.14
CNNC,6.08
CCON,4.4
CCNC,10.54
CCNN,5.8
CCCCN,10.21
NCC=O,7.81
C=CCN,9.66
CNCCO,9.81
N=C=N,3.56
NCCCO,9.84
NCCCP,10.2
N=C=S,2.64
NCCCl,9.06
N#CCN,6.39
NCCBr,8.62
NNCCO,5.34
C#CCN,8.97
CCCCON,4.4
CN(C)C,9.57
NCCCON,10.14
NCCCCN,10.51
CCNCCN,10.14
CC(C)N,10.43
CCNNCC,6.34
C#CCNC,9.24
C=CCON,4.43
N#CCCN,7.85
CCCCNN,5.82
OCCNCO,8.76
CN1CC1,6.76
CC1CN1,7.95
COCCCN,10.14
CCNCCO,9.89
C=CCNC,9.8
c1cscn1,2.89
CC(=N)S,12.17
CCCCCNC,10.54
NCCNCCN,9.93
CC(O)CN,9.6
NCCCCCN,10.51
OCCNCCO,9.26
NCCCCCO,10.21
CC(N)CO,9.79
CC(C)NO,5.08
[13NH3],8.86
CC(N)CN,9.83
CCCCCCN,10.21
CCCCNCC,10.62
CC(N)Cl,6.62
CCCC=NO,3.43
C1CSCN1,8.6
NCCCC=O,9.79
NCCOCCN,9.75
NCCOCCO,9.45
CCCNCCC,10.77
NCCNCCO,9.7
CCC(C)N,10.44
c1ccncc1,5.12
CCC(N)CC,10.47
Cn1ccnc1,6.58
c1ccnnc1,2.52
CN1CCCC1,10.08
NCC(=O)O,9.24
CC(C)CCN,10.2
CCC(C)CN,10.23
NNC(N)=O,3.09
CCNCCNCC,9.93
NCCSSCCN,9.91
CNCCCCNC,10.84
NCCCCCCN,10.51
N=C(N)NO,10.51
NCC(N)=O,8.15
C1=CNCN1,5.71
CCC(N)CO,9.84
NC(CO)CO,9.23
OCCN1CC1,6.24
Nc1nccs1,5.09
CSC(=N)N,10.63
C1CNCCN1,9.56
NNC(N)=S,3.86
NC1CCCC1,10.45
CSCCNCCN,9.78
NCCCNCCS,10.85
NCCCNCCN,10.09
NCC(=O)S,9.47
CN(C)CCS,8.93
Cc1cscn1,2.74
N=C(N)CF,8.49
CNC(N)NC,6.56
NCCCCC=O,10.01
CCN(C)CC,9.97
CCCN(C)C,9.87
CC(=O)NN,3.28
COCC(C)N,9.69
CCN(O)CC,4.14
ON=CC=NO,1.16
NCCCCCCS,10.5
NCC(N)CS,9.41
N=C(N)CS,12.7
CCCCCCCN,10.21
