smiles,pka,marvin_pKa_type
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,7.46,basic
Brc1cc2cccnc2c2ncccc12,4.2,basic
Brc1ccc(-c2nn[nH]n2)cc1,3.73,acidic
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11,basic
Brc1ccc(C2NCCS2)cc1,5.05,basic
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7,basic
Brc1ccc(Cc2nn[nH]n2)cc1,4.62,acidic
Brc1ccc(NC2=NCCN2)cc1,9.65,basic
Brc1ccc2c(c1)CCN2,3.7,basic
Brc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,6.38,basic
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,11.2,basic
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,10.88,basic
Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,10.9,basic
Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,11.2,basic
Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,10.4,basic
Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,10.5,basic
Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,10.51,basic
Brc1cccc(Br)c1NC1=NCCN1,7.85,basic
Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,11.1,basic
Brc1cccc(N2CCc3ccccc3C2)n1,2,basic
Brc1ccccc1-c1nn[nH]n1,3.83,acidic
Brc1ccccc1N(CC1CC1)C1=NCCN1,11.2,basic
Brc1cccnc1,2.94,basic
Brc1ccnc2c1ccc1cccnc12,4.03,basic
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9,basic
Brc1cncc2ccccc12,3.54,basic
Brc1nn[nH]n1,2.13,acidic
C#CC#CC#CCC(O)CCC(=O)O,4.75,acidic
C#CC#CC=C=CC(O)CCC(=O)O,4.8,acidic
C#CC(C)(C(C)C)N(C)C(C)C,8.7,basic
C#CC(C)(C)N(C)C(C)(C)C,9.3,basic
C#CC(C)(C)N(C)C(C)(C)C#C,6.65,basic
C#CC(C)(C)N(C)C(C)C,8.7,basic
C#CC(C)(C)N(CC)C(C)(C)C,9.6,basic
C#CC(C)(C)NC(C)(C)C#C,6.45,basic
C#CC(C)(C)NC(C)(C)C=C,8.2,basic
C#CC(C)(C)NC(C)(C)CC,9,basic
C#CC(C)(C)Nc1ccccc1,4.26,basic
C#CC(C)(C)OC[n+]1ccn(C)c1C=NO,7.98,acidic
C#CC(C)C(C)OC[n+]1ccn(C)c1C=NO,8,acidic
C#CC(C)Nc1ccccc1,3.25,basic
C#CC(C)OC[n+]1ccn(C)c1C=NO,7.96,acidic
C#CC(CC)(CC)N(C)C(C)C,8.8,basic
C#CC(CC)(CC)N(CC)C(C)C,8.2,basic
C#CC(CC)OC[n+]1ccn(C)c1C=NO,7.99,acidic
C#CC(CCC)OC[n+]1ccn(C)c1C=NO,8.02,acidic
C#CC1(OC[n+]2ccn(C)c2C=NO)CCCC1,7.97,acidic
C#CC1CCCCC1OC[n+]1ccn(C)c1C=NO,8.03,acidic
C#CCC(=O)O,3.31,acidic
C#CCC(C)OC[n+]1ccn(C)c1C=NO,8.03,acidic
