smiles,pka
F,3.17
OO,11.52
C#N,9.5
SSS,8.92
OCl,7.93
NCCS,9.42
N#CN,10.87
C=CO,10.31
C=NO,10.94
O=CO,4.27
OCCS,9.97
CCCS,10.2
O=NOO,6.55
CCCCS,10.2
C=CCS,10
OCCCS,10.18
CC(C)S,10.12
[18FH],3.17
CC(=O)O,4.54
CC(=N)S,3.33
NC(=O)O,3.92
CCCCCCS,10.2
C=CNC#N,11.1
O=C(O)O,6.05
CCCC=NO,11.34
C[N+]#N,10.92
SCCSCCS,9.81
CCC(C)S,10.1
N#CCC#N,9.39
NC(=O)NO,10.14
CCC(=O)O,4.75
CC(=O)NO,8.94
NNC(N)=O,12.85
O=C(O)CS,4.2
O=C(O)CI,3.05
O=C(O)CO,3.53
OCC(S)CS,9.58
O=C(O)CF,3.13
CC(=O)OO,7.69
NCCCNCCS,9.43
NCC(=O)S,-1.25
CN(C)CCS,10.15
OCC(O)CS,9.92
CNC(=S)S,2.05
CSC(N)=S,8.11
O=[PH2]O,2.55
CC(=O)NN,13.18
CC(CO)CS,10.15
ON=CC=NO,8.54
SC1CCCC1,10.07
NCCCCCCS,9.9
NC(=S)NO,10.87
NCC(N)CS,10.25
N=C(N)CS,8.58
O=C(O)CCl,3.06
CCCC(=O)O,4.91
Oc1ccccc1,10.02
Oc1ccccn1,11.7
O=C1CNCN1,12.14
NCCC(=O)O,4.08
O=C(O)CBr,2.64
CNCC(=O)O,2.06
Nc1conc1O,4.31
Sc1ccccc1,6.64
CONC(N)=O,11.91
NNC(=O)NO,9.94
SCc1cccs1,9.84
O=C(O)CCS,4.57
Cn1ccnc1O,12.84
NOCC(=O)O,3.16
NCC(=O)NO,8.85
NCC(=O)NN,12.9
Oc1ccncc1,10.55
Oc1cccnc1,9.16
Cn1ccnc1S,7.87
OOC1CCCO1,11.6
CSCC(N)CS,9.38
O=CC(=O)O,2.61
O=C(O)CCO,4.2
C=CC(=O)O,4.52
Sc1ccccn1,7.64
NCCS(=O)O,1.68
CC(=O)NBr,11.22
COC(=O)CS,9.33
O=C(O)CNO,2
Sc1ncccn1,8.86
Sc1ccncc1,5.74
COCC(=O)O,3.83
CCC/C=N/O,11.34
CONC(C)=O,9
SC1=NCCS1,6.4
Cn1cnnc1S,7.35
CCC(C)=NO,11.66
CCCCCCCCS,10.2
CC(C)(C)S,10.02
COC(=O)NN,12.79
SC1CCCCC1,10.07
Cc1occc1S,5.38
OCC(CS)CS,9.84
SCc1ccco1,9.71
NCCCC(=O)O,4.53
c1c[nH]cn1,13.4
CCCCC(=O)O,5.01
c1nc[nH]n1,9.9
Nc1ccccc1O,10.35
Oc1ccccc1O,9.34
NOCC(O)CON,13.54
O=C1CCCNN1,11.58
O=C1CCCN1O,8.38
O=C1CNCN1O,7.86
NCCCS(=O)O,1.97
Oc1cccnc1O,8.88
Cc1ccccc1O,10.37
CC(=O)NC#N,4.51
OCC(F)(F)F,11.49
CSCCC(=O)O,4.68
Nc1ccccc1S,6.79
NP(=O)(O)O,3.05
NP(N)(=O)O,5.66
CP(O)(O)=S,3.59
Cc1ncccc1O,9.65
CCCCC(N)CS,9.52
CCOC(=O)NO,8.47
CC(C)(C)OO,11.72
NNCCC(=O)O,3.44
O=C(O)CCCO,4.44
NCCC(=O)NO,8.46
Oc1ccccc1F,8.45
Oc1ccccc1I,8.41
N=C(N)NN=O,12.28
O=C(O)CCCS,4.72
CSCCC(N)CS,9.51
CCOCC(=O)O,4.04
NC(CS)CCSO,9.39
SCc1ccccc1,9.93
Oc1ccccc1S,6.01
O=[PH](O)O,2.07
OCCN(CO)CO,13.75
NCCNC(=S)S,2
O=C(O)CCNO,3.34
CCCC(=O)NO,8.91
OCCOCCOCCS,9.97
O=C(O)CCCl,3.72
Sc1ccccc1S,5.91
c1c[nH]nn1,9.22
c1nnn[nH]1,4.81
N#CCC(N)=O,9.22
O=C1CN=CN1,10.29
OC1OCCOC1O,10.36
CCOC(=O)CS,9.33
Cc1ccccc1S,6.78
CC=CC(=O)O,4.71
N#CCC(=O)O,2.06
CC(S)C(C)S,9.68
SCCOCCOCCS,9.67
SCCCCCCCCS,9.9
ON=C1CCCC1,11.76
COC(=O)CCS,10.11
CCNC(=O)NO,10.1
CCNC(=N)CS,8.59
SCC1=NCCN1,9.16
COCCC(=O)O,4.41
CCCCCC(=O)O,5.09
COc1ccccc1O,9.98
CC(C)(C)COO,11.74
OCc1ccccc1O,9.92
CNc1ccccc1O,10.29
NC1CCONC1=O,5.38
O=C1CCNCN1O,7.94
NCCCCC(=O)O,4.65
O=C(O)C1CO1,3.32
C[C@H](N)CS,9.5
NCP(=O)(O)O,-0.2
O=C(O)CCCCS,4.82
Fc1ncc[nH]1,8.84
Nc1ncc[nH]1,13.93
Cc1ncc[nH]1,13.92
O=c1ccocc1O,9.46
O=c1ccccn1O,7.11
CC(C)C(=O)O,4.87
CCc1ccccc1O,10.31
Oc1ccccc1Cl,7.97
CC/N=C(/N)S,2.03
Sc1ccccc1Br,5.43
COc1ccccc1S,6.11
CN(O)C(N)=O,9.94
ON=C1CCCCC1,11.96
O=C(O)COCCO,3.72
NCc1ccccc1O,8.32
NC(=O)C(F)F,10.67
[N-]=[N+]=N,5.09
Oc1ccccc1Br,8.16
Nc1nnc(S)s1,6.49
O=C1COC=C1O,6.62
NCCc1nonc1O,2.17
CSc1ccccc1O,9.22
Cc1cc(O)no1,5.31
Nc1nc[nH]n1,13.99
CP(=O)(O)CN,0.08
Cc1nnn[nH]1,5.19
Cc1nnc(O)o1,2.98
Cc1nnc(S)o1,6.26
O=C(O)CNCCS,2.07
CC(O)C(=O)O,3.78
O=C(O)CCCCO,4.59
CN(C)C(=S)S,2.01
O=S(O)(O)=S,2.7
O=C(O)CCCBr,3.53
OCc1ncccc1O,9.06
COC(=O)CC#N,8.98
O=CCCC(=O)O,4.13
NC(=O)C(N)O,12.14
O=C(O)CCCNO,4.08
Oc1coccc1=S,11.28
O=c1occcc1O,10.36
On1ccccc1=S,8.24
Oc1nc[nH]n1,7.04
COc1cccnc1O,11.86
CNCC(CS)CNC,9.8
Cc1nnc[nH]1,11.09
SCCSCCCSCCS,9.81
O=C(O)C#CCO,2.21
NC1C=NNC1=O,11.64
Oc1csc(O)n1,4.71
CNCCCC(=O)O,4.62
N#CNc1nncs1,10.6
N#CCC(=O)NN,9.06
CC/C(C)=N/O,11.66
CC(S)C(=O)O,4.35
CNC(=O)CC#N,9.19
NCCCNCCCCCS,10.03
O=C(CCl)NCO,10.41
Sc1nnc(S)s1,5.77
C=CCCC(=O)O,4.89
SCCc1cnccn1,10.15
CCOC(=O)CCS,10.11
Sc1ncc[nH]1,7.8
CCCNC(=O)NO,10.1
OCCCNC(=S)S,2.04
Sc1ccccc1Cl,5.39
Nc1cccc(O)c1,9.82
NCc1cc(O)no1,7
Oc1ccc(O)cc1,9.68
NC(=O)C(=O)O,2.48
Cc1ccc(O)cc1,10.36
Nc1nncc(O)n1,11.44
Oc1cccc(O)c1,9.26
CN(C)CC(O)CO,14
O=C(O)C1CCN1,1.76
CCNP(=O)(O)O,2.95
Cc1cccc(O)c1,10.13
O=C(O)CCOCCI,3.67
OC(CS)C(O)CS,9.62
CCC(N)C(=O)O,2.62
NC(CS)C(=O)O,2.35
Nc1nccc(O)n1,12.28
Nc1cc(O)ncn1,12.14
CCCC(=O)NC#N,4.48
Oc1ccc(I)cc1,9.1
Oc1ccc(F)cc1,9.24
Oc1cccc(F)c1,8.57
NC1CNC(=O)O1,12.58
CSc1ncc[nH]1,11.66
CCc1ncc[nH]1,13.8
Clc1ncc[nH]1,10.56
Brc1ncc[nH]1,11.08
Nc1c[nH]nc1O,5.48
Cc1sc(N)nc1O,6.7
O=C(O)CCCCCS,4.91
O=C(O)C1CNC1,3.09
NCCCCCC(=O)O,4.73
CC1NCC(O)C1O,13.38
NCc1c[nH]cn1,12.91
ON=C1CCCCCC1,12.11
CS(=O)(=O)NO,9.29
C=C(C)/C=N/O,11.71
CCCCCCC(=O)O,5.15
O=Cc1ccccc1O,8.4
Nc1ccc(O)cc1,10.4
Oc1cccc(I)c1,8.9
Cc1ccc(S)cc1,6.78
Fc1ccc(S)cc1,5.46
O=c1cccccc1O,11.26
CSCP(O)(O)=S,3.21
CCCCNC(=O)NO,10.1
NCc1cc(O)ns1,2.43
Cc1ccc(O)cn1,9.63
CCCCCC/C=N/O,11.41
CC(=O)/C=N/O,8.2
CC(C)C(=O)NN,13.35
OCC(S)C(S)CO,9.4
N#Cc1ccccc1O,8.09
NS(=O)(=O)NO,9.33
NCCCc1nonc1O,2.26
CCOc1ccccc1O,9.96
CCCc1ccccc1O,10.3
CNCP(C)(=O)O,-0.26
Cc1ccnc(S)n1,9.13
CC(C)CC(=O)O,5.01
CCc1nnc(S)s1,6.69
CCC(O)C(=O)O,3.99
NCC(N)C(=O)O,2.1
CC(C)CC(N)CS,9.52
CCC(C)C(=O)O,4.97
CC(=O)C(=O)O,2.93
CC(O)CC(=O)O,4.41
NCc1nnc(O)o1,1.77
NCc1nnc(S)o1,6.07
O=C(O)C1C=C1,4.15
C/C=C/C(=O)O,4.71
C=C(C)C(=O)O,4.66
NCP(=O)(O)CO,-0.55
SCc1ccccc1Cl,9.92
CCO[PH](=O)O,2.19
CN(C)CC(=O)O,1.88
Brc1c[nH]cn1,11.93
NCCP(=O)(O)O,1.53
OCc1c[nH]cn1,12.73
CCSCCCC(=O)O,4.88
CNc1nnc(S)s1,6.72
C#CCCCC(=O)O,4.54
C=CCn1cnnc1S,7.67
Oc1nccc(S)n1,6.82
Oc1cc(O)ncn1,11.55
NCS(=O)(=O)O,-3.66
NCCSCCC(=O)O,4.45
CC(Cl)C(=O)O,3.42
CCC(S)(CC)CO,9.71
NCc1nnn[nH]1,3.1
NCCCOCC(=O)O,3.89
O=c1ccs[nH]1,8.62
O=C(NO)NCCCl,10.1
C#CCNCC(=O)O,2.54
CC(N)CC(=O)O,4.22
CCC(=S)N(C)O,10.1
NCCCSCC(=O)O,4.29
O=C(O)CCCCCO,4.71
CC(O)(C#N)CF,11.39
N#Cc1cccnc1O,9.94
NCc1cnn(O)c1,9
CCNC(=O)CC#N,9.19
CC(CS)C(=O)O,4.66
CC(Br)C(=O)O,2.86
NC(=S)C(N)=S,11.44
CCOC(=O)CC#N,8.98
CCN(O)C(N)=O,9.86
OCc1cn[nH]c1,13.72
CN(C)C(=N)CS,8.59
NCP(=O)(O)CN,-1.93
CC(CN)C(=O)O,4.17
NCC(F)C(=O)O,2.97
OCCCCNC(=S)S,2.04
O=C(O)C1CCC1,4.59
O=C(O)CC(=O)O,2.43
O=C(O)C(Cl)Cl,2.3
COc1ccc(O)cc1,9.94
C[N+](=O)[O-],9.14
O=C1CCC(=O)N1,9.9
CC(=O)NC(C)=O,11.87
O/N=C/c1cnns1,5.3
O/N=C\c1cnsn1,5.59
NNc1nncc(O)n1,11.32
Cc1cccc(C)c1O,10.73
CNCC(C)C(=O)O,4
CC1ONC(=O)C1N,4.09
CC1NCC(=O)N1O,7.8
CC1NCN(O)C1=O,7.85
NCCCP(=O)(O)O,1.79
NC/C=C\C(=O)O,4.35
NC/C=C/C(=O)O,4.35
C=C(Br)C(=O)O,2.32
CCNc1nnc(S)s1,6.92
Oc1cccc(Cl)c1,8.79
NCC1CC(=O)NO1,7.69
Cc1nccc(O)c1O,9.34
NC1=NC(=O)CN1,6.9
COc1cccc(O)c1,9.49
CCc1cccc(O)c1,10.11
Oc1ccc(Cl)cc1,8.96
Oc1ccc(Br)cc1,9.09
Cc1sc(NN)nc1O,6.57
NCCC(N)C(=O)O,2.55
CC(CN)CC(=O)O,4.62
Oc1cccc(O)c1O,8.94
NC(CCS)C(=O)O,2.46
Cc1c(O)noc1CN,7.02
NCC1NCC(O)C1O,13.35
O=C1CSC(=O)N1,6.36
O=C1C=CC(O)O1,9.91
CC1N=CC(O)C1O,12.93
O=P1(O)NCCCO1,3.09
O=C1C=C(O)CN1,8.48
CC1CC1CC(=O)O,4.77
NCC(O)CC(=O)O,4.1
CCc1ccc(O)cc1,10.32
CCCCCCCC(=O)O,5.19
Cc1cccc(C)c1S,6.9
