Epoch: 1/106, loss: 109.8993, Val rmse: 1.636217, Test rmse: 1.523390,Best Test rmse: 1.523390, time: 9.16, val_time: 1.53.
Epoch: 2/106, loss: 65.2227, Val rmse: 1.184052, Test rmse: 1.087291,Best Test rmse: 1.087291, time: 9.29, val_time: 1.63.
Epoch: 3/106, loss: 48.8337, Val rmse: 0.979154, Test rmse: 0.888111,Best Test rmse: 0.888111, time: 9.36, val_time: 1.58.
Epoch: 4/106, loss: 40.8257, Val rmse: 0.899262, Test rmse: 0.805918,Best Test rmse: 0.805918, time: 9.39, val_time: 1.59.
Epoch: 5/106, loss: 36.9303, Val rmse: 0.866844, Test rmse: 0.792183,Best Test rmse: 0.792183, time: 9.41, val_time: 1.63.
Epoch: 6/106, loss: 32.9217, Val rmse: 0.821327, Test rmse: 0.745616,Best Test rmse: 0.745616, time: 9.47, val_time: 1.64.
Epoch: 7/106, loss: 31.1841, Val rmse: 0.770012, Test rmse: 0.722923,Best Test rmse: 0.722923, time: 9.51, val_time: 2.79.
Epoch: 8/106, loss: 28.1233, Val rmse: 0.873700, Test rmse: 0.806966,Best Test rmse: 0.722923, time: 9.47, val_time: 1.60.
Epoch: 9/106, loss: 28.3004, Val rmse: 0.699554, Test rmse: 0.673528,Best Test rmse: 0.673528, time: 9.49, val_time: 1.62.
Epoch: 10/106, loss: 26.7472, Val rmse: 0.660004, Test rmse: 0.613357,Best Test rmse: 0.613357, time: 9.46, val_time: 1.62.
Epoch: 11/106, loss: 24.3085, Val rmse: 0.655018, Test rmse: 0.606370,Best Test rmse: 0.606370, time: 9.47, val_time: 1.62.
Epoch: 12/106, loss: 22.4119, Val rmse: 0.648224, Test rmse: 0.609307,Best Test rmse: 0.609307, time: 9.48, val_time: 1.60.
Epoch: 13/106, loss: 22.4849, Val rmse: 0.638681, Test rmse: 0.606612,Best Test rmse: 0.606612, time: 9.47, val_time: 1.63.
Epoch: 14/106, loss: 21.6754, Val rmse: 0.645110, Test rmse: 0.606814,Best Test rmse: 0.606612, time: 9.50, val_time: 1.60.
Epoch: 15/106, loss: 20.7252, Val rmse: 0.633608, Test rmse: 0.595624,Best Test rmse: 0.595624, time: 9.46, val_time: 1.62.
Epoch: 16/106, loss: 20.2458, Val rmse: 0.591161, Test rmse: 0.556390,Best Test rmse: 0.556390, time: 9.51, val_time: 1.60.
Epoch: 17/106, loss: 19.3605, Val rmse: 0.588280, Test rmse: 0.548985,Best Test rmse: 0.548985, time: 10.65, val_time: 1.66.
Epoch: 18/106, loss: 18.5229, Val rmse: 0.669793, Test rmse: 0.619805,Best Test rmse: 0.548985, time: 9.48, val_time: 1.61.
Epoch: 19/106, loss: 18.6774, Val rmse: 0.628183, Test rmse: 0.598482,Best Test rmse: 0.548985, time: 9.52, val_time: 1.62.
Epoch: 20/106, loss: 18.0493, Val rmse: 0.634267, Test rmse: 0.602863,Best Test rmse: 0.548985, time: 9.48, val_time: 1.62.
Epoch: 21/106, loss: 16.9641, Val rmse: 0.585586, Test rmse: 0.527985,Best Test rmse: 0.527985, time: 9.52, val_time: 1.62.
Epoch: 22/106, loss: 16.4788, Val rmse: 0.572218, Test rmse: 0.541240,Best Test rmse: 0.541240, time: 9.53, val_time: 1.62.
Epoch: 23/106, loss: 15.7793, Val rmse: 0.600120, Test rmse: 0.559908,Best Test rmse: 0.541240, time: 9.52, val_time: 1.62.
Epoch: 24/106, loss: 15.7345, Val rmse: 0.551977, Test rmse: 0.521649,Best Test rmse: 0.521649, time: 9.54, val_time: 1.65.
Epoch: 25/106, loss: 15.4035, Val rmse: 0.569356, Test rmse: 0.520592,Best Test rmse: 0.521649, time: 9.53, val_time: 1.62.
Epoch: 26/106, loss: 14.8347, Val rmse: 0.550400, Test rmse: 0.536147,Best Test rmse: 0.536147, time: 10.70, val_time: 1.61.
Epoch: 27/106, loss: 14.6461, Val rmse: 0.551153, Test rmse: 0.519442,Best Test rmse: 0.536147, time: 9.53, val_time: 1.63.
Epoch: 28/106, loss: 14.5685, Val rmse: 0.550443, Test rmse: 0.503138,Best Test rmse: 0.536147, time: 9.60, val_time: 1.63.
Epoch: 29/106, loss: 13.9399, Val rmse: 0.604536, Test rmse: 0.554266,Best Test rmse: 0.536147, time: 9.60, val_time: 1.66.
Epoch: 30/106, loss: 13.3967, Val rmse: 0.556962, Test rmse: 0.515309,Best Test rmse: 0.536147, time: 9.59, val_time: 1.62.
Epoch: 31/106, loss: 12.6805, Val rmse: 0.566761, Test rmse: 0.515165,Best Test rmse: 0.536147, time: 9.54, val_time: 1.62.
Epoch: 32/106, loss: 12.8707, Val rmse: 0.545196, Test rmse: 0.500518,Best Test rmse: 0.500518, time: 9.53, val_time: 1.63.
Epoch: 33/106, loss: 12.3352, Val rmse: 0.536678, Test rmse: 0.496646,Best Test rmse: 0.496646, time: 9.56, val_time: 1.63.
Epoch: 34/106, loss: 12.1157, Val rmse: 0.527974, Test rmse: 0.495373,Best Test rmse: 0.495373, time: 9.55, val_time: 1.62.
Epoch: 35/106, loss: 12.2607, Val rmse: 0.535577, Test rmse: 0.492927,Best Test rmse: 0.495373, time: 10.74, val_time: 1.62.
Epoch: 36/106, loss: 11.6796, Val rmse: 0.542210, Test rmse: 0.506654,Best Test rmse: 0.495373, time: 9.50, val_time: 1.66.
Epoch: 37/106, loss: 11.3146, Val rmse: 0.529976, Test rmse: 0.497329,Best Test rmse: 0.495373, time: 9.52, val_time: 1.62.
Epoch: 38/106, loss: 11.0378, Val rmse: 0.529977, Test rmse: 0.492162,Best Test rmse: 0.495373, time: 9.56, val_time: 1.62.
Epoch: 39/106, loss: 11.2270, Val rmse: 0.516361, Test rmse: 0.500165,Best Test rmse: 0.500165, time: 9.54, val_time: 1.62.
Epoch: 40/106, loss: 10.9263, Val rmse: 0.511029, Test rmse: 0.483846,Best Test rmse: 0.483846, time: 9.58, val_time: 1.63.
Epoch: 41/106, loss: 10.1431, Val rmse: 0.517084, Test rmse: 0.483416,Best Test rmse: 0.483846, time: 9.55, val_time: 1.63.
Epoch: 42/106, loss: 10.2626, Val rmse: 0.524935, Test rmse: 0.493130,Best Test rmse: 0.483846, time: 9.58, val_time: 1.62.
Epoch: 43/106, loss: 9.8038, Val rmse: 0.522147, Test rmse: 0.479151,Best Test rmse: 0.483846, time: 9.59, val_time: 1.62.
Epoch: 44/106, loss: 9.7417, Val rmse: 0.516666, Test rmse: 0.491790,Best Test rmse: 0.483846, time: 10.73, val_time: 1.63.
Epoch: 45/106, loss: 9.9740, Val rmse: 0.509137, Test rmse: 0.485476,Best Test rmse: 0.485476, time: 9.58, val_time: 1.62.
Epoch: 46/106, loss: 9.4265, Val rmse: 0.516926, Test rmse: 0.494708,Best Test rmse: 0.485476, time: 9.57, val_time: 1.62.
Epoch: 47/106, loss: 9.4082, Val rmse: 0.509256, Test rmse: 0.487952,Best Test rmse: 0.485476, time: 9.61, val_time: 1.62.
Epoch: 48/106, loss: 9.3001, Val rmse: 0.509364, Test rmse: 0.481701,Best Test rmse: 0.485476, time: 9.59, val_time: 1.62.
Epoch: 49/106, loss: 9.2885, Val rmse: 0.513004, Test rmse: 0.481693,Best Test rmse: 0.485476, time: 9.66, val_time: 1.63.
Epoch: 50/106, loss: 9.0296, Val rmse: 0.524054, Test rmse: 0.480702,Best Test rmse: 0.485476, time: 9.60, val_time: 1.62.
Epoch: 51/106, loss: 8.4923, Val rmse: 0.513140, Test rmse: 0.479010,Best Test rmse: 0.485476, time: 9.58, val_time: 1.63.
Epoch: 52/106, loss: 8.4494, Val rmse: 0.496999, Test rmse: 0.469279,Best Test rmse: 0.469279, time: 9.60, val_time: 1.62.
Epoch: 53/106, loss: 7.9904, Val rmse: 0.503309, Test rmse: 0.489499,Best Test rmse: 0.469279, time: 10.73, val_time: 1.62.
Epoch: 54/106, loss: 8.1293, Val rmse: 0.505934, Test rmse: 0.473696,Best Test rmse: 0.469279, time: 9.62, val_time: 1.62.
Epoch: 55/106, loss: 8.2195, Val rmse: 0.506854, Test rmse: 0.477976,Best Test rmse: 0.469279, time: 9.60, val_time: 1.61.
Epoch: 56/106, loss: 8.1466, Val rmse: 0.504441, Test rmse: 0.490837,Best Test rmse: 0.469279, time: 9.58, val_time: 1.63.
Epoch: 57/106, loss: 8.0160, Val rmse: 0.496820, Test rmse: 0.471809,Best Test rmse: 0.471809, time: 9.59, val_time: 1.62.
Epoch: 58/106, loss: 8.0631, Val rmse: 0.496725, Test rmse: 0.473129,Best Test rmse: 0.473129, time: 9.58, val_time: 1.62.
Epoch: 59/106, loss: 7.8002, Val rmse: 0.503079, Test rmse: 0.473305,Best Test rmse: 0.473129, time: 9.60, val_time: 1.62.
Epoch: 60/106, loss: 7.6639, Val rmse: 0.499028, Test rmse: 0.481526,Best Test rmse: 0.473129, time: 9.58, val_time: 1.67.
Epoch: 61/106, loss: 7.1205, Val rmse: 0.498636, Test rmse: 0.467273,Best Test rmse: 0.473129, time: 9.60, val_time: 2.81.
Epoch: 62/106, loss: 7.3820, Val rmse: 0.499063, Test rmse: 0.477714,Best Test rmse: 0.473129, time: 9.63, val_time: 1.62.
Epoch: 63/106, loss: 6.6865, Val rmse: 0.498461, Test rmse: 0.468865,Best Test rmse: 0.473129, time: 9.58, val_time: 1.62.
Epoch: 64/106, loss: 6.9378, Val rmse: 0.502406, Test rmse: 0.469931,Best Test rmse: 0.473129, time: 9.62, val_time: 1.63.
Epoch: 65/106, loss: 6.7227, Val rmse: 0.500245, Test rmse: 0.469623,Best Test rmse: 0.473129, time: 9.60, val_time: 1.64.
Epoch: 66/106, loss: 6.9199, Val rmse: 0.512779, Test rmse: 0.470304,Best Test rmse: 0.473129, time: 9.67, val_time: 1.62.
Epoch: 67/106, loss: 6.7249, Val rmse: 0.507702, Test rmse: 0.478328,Best Test rmse: 0.473129, time: 9.63, val_time: 1.62.
Epoch: 68/106, loss: 6.5420, Val rmse: 0.486816, Test rmse: 0.465504,Best Test rmse: 0.465504, time: 9.59, val_time: 1.62.
Epoch: 69/106, loss: 6.5839, Val rmse: 0.493459, Test rmse: 0.459676,Best Test rmse: 0.465504, time: 9.62, val_time: 1.63.
Epoch: 70/106, loss: 6.6064, Val rmse: 0.501983, Test rmse: 0.468452,Best Test rmse: 0.465504, time: 9.60, val_time: 1.62.
Epoch: 71/106, loss: 6.2579, Val rmse: 0.487677, Test rmse: 0.457602,Best Test rmse: 0.465504, time: 10.81, val_time: 1.63.
Epoch: 72/106, loss: 6.0556, Val rmse: 0.497331, Test rmse: 0.464172,Best Test rmse: 0.465504, time: 9.62, val_time: 1.64.
Epoch: 73/106, loss: 5.9746, Val rmse: 0.495978, Test rmse: 0.466961,Best Test rmse: 0.465504, time: 9.60, val_time: 1.63.
Epoch: 74/106, loss: 5.8760, Val rmse: 0.497752, Test rmse: 0.462574,Best Test rmse: 0.465504, time: 9.61, val_time: 1.63.
Epoch: 75/106, loss: 5.7567, Val rmse: 0.493764, Test rmse: 0.463063,Best Test rmse: 0.465504, time: 9.67, val_time: 1.66.
Epoch: 76/106, loss: 5.9016, Val rmse: 0.490093, Test rmse: 0.462131,Best Test rmse: 0.465504, time: 9.64, val_time: 1.63.
Epoch: 77/106, loss: 5.8009, Val rmse: 0.490030, Test rmse: 0.464018,Best Test rmse: 0.465504, time: 9.60, val_time: 1.68.
Epoch: 78/106, loss: 5.7914, Val rmse: 0.485912, Test rmse: 0.459775,Best Test rmse: 0.459775, time: 9.58, val_time: 1.64.
Epoch: 79/106, loss: 5.7005, Val rmse: 0.493161, Test rmse: 0.461798,Best Test rmse: 0.459775, time: 9.63, val_time: 1.63.
Epoch: 80/106, loss: 5.6617, Val rmse: 0.489458, Test rmse: 0.462938,Best Test rmse: 0.459775, time: 10.73, val_time: 1.63.
Epoch: 81/106, loss: 5.4568, Val rmse: 0.487265, Test rmse: 0.460311,Best Test rmse: 0.459775, time: 9.60, val_time: 1.63.
Epoch: 82/106, loss: 5.0860, Val rmse: 0.485917, Test rmse: 0.460943,Best Test rmse: 0.459775, time: 9.58, val_time: 1.63.
Epoch: 83/106, loss: 5.1607, Val rmse: 0.489108, Test rmse: 0.460257,Best Test rmse: 0.459775, time: 9.62, val_time: 1.64.
Epoch: 84/106, loss: 4.9696, Val rmse: 0.478400, Test rmse: 0.460975,Best Test rmse: 0.460975, time: 9.61, val_time: 1.64.
Epoch: 85/106, loss: 5.0713, Val rmse: 0.484875, Test rmse: 0.462282,Best Test rmse: 0.460975, time: 9.59, val_time: 1.64.
Epoch: 86/106, loss: 4.9333, Val rmse: 0.494805, Test rmse: 0.459431,Best Test rmse: 0.460975, time: 9.61, val_time: 1.64.
Epoch: 87/106, loss: 4.9341, Val rmse: 0.491286, Test rmse: 0.455642,Best Test rmse: 0.460975, time: 9.59, val_time: 1.63.
