Epoch: 1/106, loss: 114.5408, Val rmse: 1.717824, Test rmse: 1.626443,Best Test rmse: 1.626443, time: 22.32, val_time: 4.41.
Epoch: 2/106, loss: 73.1059, Val rmse: 1.490612, Test rmse: 1.433397,Best Test rmse: 1.433397, time: 22.07, val_time: 3.39.
Epoch: 3/106, loss: 63.2653, Val rmse: 1.327953, Test rmse: 1.286229,Best Test rmse: 1.286229, time: 21.97, val_time: 4.21.
Epoch: 4/106, loss: 57.0246, Val rmse: 1.266482, Test rmse: 1.213456,Best Test rmse: 1.213456, time: 18.81, val_time: 4.35.
Epoch: 5/106, loss: 50.7494, Val rmse: 1.192363, Test rmse: 1.140007,Best Test rmse: 1.140007, time: 20.74, val_time: 4.60.
Epoch: 6/106, loss: 47.8504, Val rmse: 1.056817, Test rmse: 1.026527,Best Test rmse: 1.026527, time: 22.32, val_time: 4.75.
Epoch: 7/106, loss: 43.4831, Val rmse: 1.057895, Test rmse: 1.029292,Best Test rmse: 1.026527, time: 21.50, val_time: 5.71.
Epoch: 8/106, loss: 40.9696, Val rmse: 0.932874, Test rmse: 0.903912,Best Test rmse: 0.903912, time: 20.44, val_time: 4.20.
Epoch: 9/106, loss: 37.6012, Val rmse: 0.923856, Test rmse: 0.902743,Best Test rmse: 0.902743, time: 19.42, val_time: 4.25.
Epoch: 10/106, loss: 35.9073, Val rmse: 0.846364, Test rmse: 0.830916,Best Test rmse: 0.830916, time: 19.22, val_time: 4.31.
Epoch: 11/106, loss: 33.0131, Val rmse: 0.837161, Test rmse: 0.806819,Best Test rmse: 0.806819, time: 19.29, val_time: 3.87.
Epoch: 12/106, loss: 31.3136, Val rmse: 0.834642, Test rmse: 0.803319,Best Test rmse: 0.803319, time: 21.73, val_time: 4.33.
Epoch: 13/106, loss: 29.6168, Val rmse: 0.811231, Test rmse: 0.789819,Best Test rmse: 0.789819, time: 21.08, val_time: 4.55.
Epoch: 14/106, loss: 28.7461, Val rmse: 0.810691, Test rmse: 0.783978,Best Test rmse: 0.783978, time: 20.93, val_time: 4.40.
Epoch: 15/106, loss: 27.9690, Val rmse: 0.777199, Test rmse: 0.732797,Best Test rmse: 0.732797, time: 21.43, val_time: 4.71.
Epoch: 16/106, loss: 27.0535, Val rmse: 0.746204, Test rmse: 0.733210,Best Test rmse: 0.733210, time: 21.48, val_time: 4.55.
Epoch: 17/106, loss: 25.6834, Val rmse: 0.713791, Test rmse: 0.697820,Best Test rmse: 0.697820, time: 22.75, val_time: 4.58.
Epoch: 18/106, loss: 24.7181, Val rmse: 0.738867, Test rmse: 0.692766,Best Test rmse: 0.697820, time: 21.28, val_time: 4.92.
Epoch: 19/106, loss: 24.3423, Val rmse: 0.676002, Test rmse: 0.647024,Best Test rmse: 0.647024, time: 20.53, val_time: 4.53.
Epoch: 20/106, loss: 23.4854, Val rmse: 0.714016, Test rmse: 0.686822,Best Test rmse: 0.647024, time: 19.06, val_time: 4.51.
Epoch: 21/106, loss: 21.6337, Val rmse: 0.672520, Test rmse: 0.637898,Best Test rmse: 0.637898, time: 20.17, val_time: 4.45.
Epoch: 22/106, loss: 20.8186, Val rmse: 0.655603, Test rmse: 0.617327,Best Test rmse: 0.617327, time: 19.42, val_time: 4.62.
Epoch: 23/106, loss: 20.5179, Val rmse: 0.693076, Test rmse: 0.653781,Best Test rmse: 0.617327, time: 21.74, val_time: 4.60.
