flag,smile,predict,true
train,CCCOc1ccc(C2CNCCS2)cc1,[8.945759773254395],[9.029999732971191]
train,CCCN(CCC)Cc1cccnc1,[9.089066505432129],[9.100000381469727]
train,CCNc1nc(C)nc2c1cnn2C,[4.8003764152526855],[4.769999980926514]
train,Nc1ccc2c(c1)C(=O)CCC2,[3.327897310256958],[3.319999933242798]
train,CC(CCc1ccccc1)N1CCN(C)CC1,[8.749934196472168],[8.65999984741211]
train,O/N=C/c1ccns1,[1.5441707372665405],[1.559999942779541]
train,Cc1ccccc1OC(=O)c1cccnc1,[3.195441484451294],[3.2100000381469727]
train,Cc1cccc(C)c1OCCN1CCCC1,[8.84997844696045],[8.880000114440918]
train,CC(C)SC(=N)N,[10.573586463928223],[10.5600004196167]
train,Clc1cncc(N2CC3CC(C2)N3)c1,[9.086788177490234],[9.130000114440918]
train,Nc1nccc(-c2ccccc2)n1,[4.181689262390137],[4.139999866485596]
train,c1cc2[nH]c(-c3cscn3)nc2cn1,[5.556311130523682],[5.519999980926514]
train,CO/N=C/c1c(O)ccc2ccccc12,[3.087806224822998],[3.190000057220459]
train,N[C@H]1CC2OC1c1ccccc12,[9.118552207946777],[9.1899995803833]
train,CCCCNCP(=O)(O)CN,[9.351967811584473],[9.4399995803833]
train,NCCc1ccc(N2CCCCC2)cc1,[9.907492637634277],[9.869999885559082]
train,CNCCCOc1ccc(C)cc1OC,[10.059242248535156],[10.100000381469727]
train,Nc1cc([N+](=O)[O-])ccc1O,[1.7199534177780151],[1.8899999856948853]
train,Cn1ccnc1CC(C)(O)c1ccccc1,[6.675457954406738],[6.679999828338623]
train,c1coc(CNc2nncc3cncn23)c1,[6.291504383087158],[6.400000095367432]
train,NC(=O)C(F)[C@H](N)C(=O)O,[6.8639445304870605],[7.21999979019165]
train,CCCCOc1cncc(N2CCCNCCC2)c1,[10.291656494140625],[10.319999694824219]
train,O=S(=O)(Nc1nccs1)c1ccccn1,[0.5121512413024902],[0.5699999928474426]
train,NC1=NCCCO1,[8.225811958312988],[8.279999732971191]
train,c1ccc(N2CCc3ccccc3C2)nc1,[6.273854732513428],[6.400000095367432]
train,CN1c2cc(Cl)ccc2CC1C1=NCCN1,[9.070768356323242],[9.09000015258789]
train,CCc1sc2ncccc2c1C1=NCCN1,[7.997645854949951],[8.039999961853027]
train,O/N=C/c1ccccn1,[2.7905936241149902],[2.7799999713897705]
train,CCc1c(C)nc(N)nc1N1N=C1SC,[4.562504291534424],[4.360000133514404]
train,CSCC(N)C(=O)CCCCCC(=O)O,[7.558935642242432],[7.75]
train,CC(C)NCC(O)COc1ccccc1C1CC1,[9.666342735290527],[9.670000076293945]
train,CN(CC(O)CN)CC(O)CN1CCCCC1,[9.440451622009277],[9.520000457763672]
train,CN1CNC(=O)N[C@@H](CN)C1=O,[7.97540807723999],[8.09000015258789]
