flag,smile,predict,true
train,c1nnc(/N=N/Nc2nncs2)s1,[8.230107307434082],[8.319999694824219]
train,SCCCSCCSCCCSCCS,[9.841472625732422],[9.850000381469727]
train,[N-]=[N+]=CC(=O)OC1CCOCC1,[8.801091194152832],[8.770000457763672]
train,NC=C1C(=O)NC(=O)NC1=O,[6.964687347412109],[6.800000190734863]
train,O=C(O)Cc1nc[nH]c1C(=O)O,[1.051675796508789],[1.0499999523162842]
train,O=C(Nc1ccc(Cl)cc1)OCc1cncs1,[13.067611694335938],[13.010000228881836]
train,O=C(O)Cc1cccc(OCCc2ccccc2)c1,[3.980733633041382],[4.090000152587891]
train,N#Cc1ccccc1CSc1ncccc1C(=O)O,[3.7182564735412598],[3.700000047683716]
train,Cc1noc(O)c1Cc1ccc2ccccc2c1,[3.9901742935180664],[4.079999923706055]
train,CCOc1ccc2[nH]c3c(O)nncc3c2c1,[9.08984375],[9.0600004196167]
train,NS(=O)(=O)c1ccccc1,[10.249083518981934],[10.239999771118164]
train,Cn1c2ccccc2c2nnc(S)nc21,[9.765454292297363],[9.680000305175781]
train,CC(=O)Nn1cnc(=O)c(C#N)c1,[11.348166465759277],[11.40999984741211]
train,Cc1cccc(O)c1,[10.211648941040039],[10.130000114440918]
train,N#CCC(=O)NCCc1ccccc1,[9.200876235961914],[9.180000305175781]
train,O=C(CSc1nc2ccccc2s1)NO,[8.846718788146973],[8.800000190734863]
train,CC(COc1ccccc1)NS(C)(=O)=O,[10.958415985107422],[10.979999542236328]
train,NC(=O)/C=C/NC(=O)/C=N\O,[9.296802520751953],[9.300000190734863]
train,O=C1Cc2cc(-c3cccnc3)ccc2N1,[12.158533096313477],[12.140000343322754]
train,CC(Nc1cc(C)ccn1)=C(C#N)C#N,[10.520349502563477],[10.550000190734863]
train,Cc1ccc(NC(=O)c2cnccn2)nc1,[13.29368782043457],[13.369999885559082]
train,CC(N)C(=O)c1ccc(O)cc1,[7.988483428955078],[8.020000457763672]
train,COc1ccccc1C(=O)NCCCC(=O)O,[3.7449092864990234],[3.75]
train,Oc1ccc(CCNc2ncnc3ccccc23)cc1,[10.309693336486816],[10.25]
train,N#Cc1ccc(NS(N)(=O)=O)cc1,[10.395588874816895],[10.350000381469727]
train,COc1cc2c(cc1SC)C(O)C(N)CCC2,[13.871625900268555],[13.859999656677246]
train,Nc1nc(O)c(Cl)c(-c2ccccc2F)n1,[10.858152389526367],[10.819999694824219]
train,NC(=O)Nc1ccc2cn[nH]c2c1,[11.91911792755127],[11.859999656677246]
train,CS(=O)(=O)NN(CCCl)S(C)(=O)=O,[8.19870376586914],[8.170000076293945]
